Titles,Source,Target,Genre,Month,Year,Lanuage,Country,Type
Homecoming Party,"Abate, Carmine","Shugaar, Anthony",Fiction,Aug,2010,Italian,Italy,Undirected
Saint Theresa and Sleeping with Strangers,"Abdelmegid, Bahaa","Rossetti, Chip",Fiction,May,2010,Arabic,Egypt,Undirected
Light of Desire,"Agosin, Marjorie","Carlson, Lori Marie",Poetry,Jan,2010,Spanish,Chile,Undirected
Chinese Notebook,"Agrafiotis, Demosthenes","Sakkis, John",Poetry,Oct,2010,Greek,Greece,Undirected
Maribor,"Agrafiotis, Demosthenes","Sakkis, John",Poetry,Feb,2010,Greek,Greece,Undirected
Literary Conference,"Aira, Cesar","Silver, Katherine",Fiction,May,2010,Spanish,Argentina,Undirected
Golden Age,"Ajvaz, Michal","Oakland, Andrew",Fiction,Apr,2010,Czech,Czech Republic,Undirected
Puppet,"Al-Koni, Ibrahim","Hutchins, William",Fiction,Nov,2010,Arabic,Libyan Arab Jamahiriya,Undirected
Munira's Bottle,"al-Mohaimeed, Yousef","Calderbank, Anthony",Fiction,Mar,2010,Arabic,Egypt,Undirected
"East Winds, West Winds","al-Saqr, Mahdi Issa","Starkey, Paul",Fiction,May,2010,Arabic,Iraq,Undirected
Fish: A History of One Migration,"Aleshkovsky, Peter","Shevchuk-Murray, Nina",Fiction,Sept,2010,Russian,Russia,Undirected
Babyfucker,"Allemann, Urs","Smith, Peter",Fiction,Jan,2010,German,Switzerland,Undirected
Island Beneath the Sea,"Allende, Isabel","Peden, Margaret Sayers",Fiction,Apr,2010,Spanish,Chile,Undirected
5 Meters of Poems,"Amat, Carlos Oquendo de","Acosta, Alejando de",Poetry,Feb,2010,Spanish,Peru,Undirected
Essential Poety of Bohdan Ihor Antonych,"Antonych, Bohdan Ihor","Naydan, Michael",Poetry,July,2010,Ukrainian,Ukraine,Undirected
Blooms of Darkness,"Appelfeld, Aharon","Green, Jeffrey",Fiction,Mar,2010,Hebrew,Israel,Undirected
Solar Poems,"Aridjis, Homero","McWhirter, George",Poetry,Mar,2010,Spanish,Mexico,Undirected
Kismet: A Kayankaya Mystery,"Arjouni, Jakob","Bell, Anthea",Fiction,Oct,2010,German,Germany,Undirected
Specters,"Ashour, Radwa","Romaine, Barbara",Fiction,Sept,2010,Arabic,Egypt,Undirected
Tablet & Pen,"Aslan, Reza","various, various",Fiction,Nov,2010,Various,Various,Undirected
Obabakoak,"Atxaga, Bernardo","Costa, Margaret Jull",Fiction,Mar,2010,Basque,Spain,Undirected
Fox's Window and Other Stories,"Awa, Naoko","Kamei, Toshiya",Fiction,June,2010,Japanese,Japan,Undirected
Winter Revels and Even Further into the Snows,"Aygi, Gennady","France, Peter",Poetry,May,2010,Russian,Russia,Undirected
Star of Stone,"Baccalario, Pierdomenico","Janeczko, Leah",Fiction,Sept,2010,Italian,Italy,Undirected
transcript,"Backer, Heimrad","Greaney, Patrick",Poetry,Feb,2010,German,Austria,Undirected
Ficticia,"Baranda, Maria","Edwards, Joshua",Poetry,Sept,2010,Spanish,Mexico,Undirected
Birds for a Demolition,"Barros, Manoel de","Novey, Idra",Poetry,Sept,2010,Portuguese,Brazil,Undirected
This Lamentable City,"Barskova, Polina","Kaminsky, Ilya",Poetry,Mar,2010,Russian,Russia,Undirected
Life and Memoirs of Doctor Pi and Other Stories,"Bayley, Edgar","Toder, Emily",Fiction,Oct,2010,Spanish,Argentina,Undirected
Dying,"Belletto, Rene","Hertich, Alexander",Fiction,Oct,2010,French,France,Undirected
Portable Paradise,"Bencastro, Mario","Pluecker, John",Fiction,Mar,2010,Spanish,El Salvador,Undirected
Rest Is Jungle,"Benedetti, Mario","Morales, Harry",Fiction,Mar,2010,Spanish,Uruguay,Undirected
Prose,"Bernhard, Thomas","Chalmers, Martin",Fiction,Aug,2010,German,Austria,Undirected
Library of Shadows,"Birkegaard, Mikkel","Nunnally, Tiina",Fiction,Nov,2010,Danish,Denmark,Undirected
To Music,"Bjornstad, Ketil","Dawkin, Deborah",Fiction,June,2010,Norwegian,Norway,Undirected
"Rebecca, Born in the Maelstrom","Blais, Marie-Claire","Spencer, Nigel",Fiction,Mar,2010,French,Quebec,Undirected
You Do Understand,"Blatnik, Andrej","Soban, Tamara",Fiction,Sept,2010,Slovenian,Slovenia,Undirected
Antwerp,"Bolano, Roberto","Wimmer, Natasha",Fiction,Apr,2010,Spanish,Chile,Undirected
Insufferable Gaucho,"Bolano, Roberto","Andrews, Chris",Fiction,Aug,2010,Spanish,Chile,Undirected
Monsieur Pain,"Bolano, Roberto","Andrews, Chris",Fiction,Jan,2010,Spanish,Chile,Undirected
Return,"Bolano, Roberto","Andrews, Chris",Fiction,July,2010,Spanish,Chile,Undirected
My Little War,"Boon, Louis Paul","Vincent, Paul",Fiction,Jan,2010,Flemish,Belgium,Undirected
My Kind of Girl,"Bose, Buddhadeva","Sinha, Arunava",Fiction,Oct,2010,Bengali,India,Undirected
These Hands,"Brandt, Per Aage","Satterlee, Thom",Poetry,Sept,2010,Danish,Denmark,Undirected
Broken Glass Park,"Bronsky, Alina","Mohr, Tim",Fiction,Apr,2010,German,Germany,Undirected
Prison Poems,"Bukharin, Nikolai","Shriver, George",Poetry,Feb,2010,Russian,Russia,Undirected
Winter Journey,"Cabre, Jaume","Lunn, Patricia",Fiction,July,2010,Catalan,Spain,Undirected
Track of Sand,"Camilleri, Andrea","Sartarelli, Stephen",Fiction,Nov,2010,Italian,Italy,Undirected
Wings of the Sphinx,"Camilleri, Andrea","Sartarelli, Stephen",Fiction,Jan,2010,Italian,Italy,Undirected
Bandit Love,"Carlotto, Massimo","Shugaar, Antony",Fiction,Oct,2010,Italian,Italy,Undirected
Past Is a Foreign Country,"Carofiglio, Gianrico","Curtis, Howard",Fiction,July,2010,Italian,Italy,Undirected
Stone Lyre,"Char, Rene","Carlson, Nancy Naomi",Poetry,Feb,2010,French,France,Undirected
Life on Paper,"Chateaureynaud, Georges-Olivier","Gauvin, Edward",Fiction,May,2010,French,France,Undirected
King of Trees,"Cheng, Ah","MacDougall, Bonnie",Fiction,June,2010,Chinese,China,Undirected
Jew Must Die,"Chessex, Jacques","Wilson, Donald",Fiction,Apr,2010,French,Switzerland,Undirected
Forest of Eyes,"Chimako, Tada","Angles, Jeffrey",Poetry,Aug,2010,Japanese,Japan,Undirected
West Cliff Poems,"Chuan, Weng","Chaves, Jonathan",Poetry,Dec,2010,Chinese,China,Undirected
Bunker Anatomy,"Claro, Christophe","Evenson, Brian",Fiction,Dec,2010,French,France,Undirected
Novel Bookstore,"Cosse, Laurence","Anderson, Alison",Fiction,Aug,2010,French,France,Undirected
Jokers,"Cossery, Albert","Moschovakis, Anna",Fiction,May,2010,French,Egypt,Undirected
Splendid Conspiracy,"Cossery, Albert","Waters, Alyson",Fiction,May,2010,French,Egypt,Undirected
Eline Vere,"Couperus, Louis","Rilke, Ina",Fiction,Apr,2010,Dutch,Netherlands,Undirected
Zarma Folkales of Niger,"Cushman, Amanda","Cushman, Amanda",Fiction,Mar,2010,French,Niger,Undirected
Black Square,"Dabrowski, Tadeusz","Lloyd-Jones, Antonia",Poetry,June,2010,Polish,Poland,Undirected
Last Fix,"Dahl, K. O.","Bartlett, Don",Fiction,Mar,2010,Norwegian,Norway,Undirected
Season of Infidelity,"Dan, Oniroku","??, ??",Fiction,Feb,2010,Japanese,Japan,Undirected
River Dies of Thirst,"Darwish, Mahmoud","Cobhman, Catherine",Poetry,Feb,2010,Arabic,"Palestinian Territory, Occupied",Undirected
State of Siege,"Darwish, Mahmoud","Akash, Munir",Poetry,June,2010,Arabic,"Palestinian Territory, Occupied",Undirected
Enter the Queen,"de Sade, Marquise","Molyneux, Valerie",Fiction,Mar,2010,French,France,Undirected
Without Anesthesia,"Debeljak, Ales","various, various",Poetry,Dec,2010,Slovenian,Slovenia,Undirected
Corinthian Copper,"Derieva, Regina","Kates, J.",Poetry,Dec,2010,Russian,Russia,Undirected
Bait: Four Stories,"Devi, Mahasweta","Banerjee, Sumanta",Fiction,June,2010,Bengali,India,Undirected
Queen of Jhansi,"Devi, Mahasweta","Sengupta, Sagaree",Fiction,July,2010,Bengali,India,Undirected
Unforgivable,"Djian, Philippe","Cameron, Euan",Fiction,Mar,2010,French,France,Undirected
Postman,"Dok-su, Mun","of Taize, Brother Anthony",Poetry,May,2010,Korean,South Korea,Undirected
