Titles,Source,Target,Genre,Month,Year,Lanuage,Country,Type
2666,"Bolano, Roberto","Wimmer, Natasha",Fiction,Nov,2008,Spanish,Chile,Undirected
2666,"Bolano, Roberto",FSG,Fiction,Nov,2008,Spanish,Chile,Undirected
2666,"Wimmer, Natasha",FSG,Fiction,Nov,2008,Spanish,Chile,Undirected
Acropolis and Tram,"Engonopoulos, Nikos","McKinsey, Martin",Poetry,Sept,2008,Greek,Greece,Undirected
Acropolis and Tram,"Engonopoulos, Nikos",Green Integer,Poetry,Sept,2008,Greek,Greece,Undirected
Acropolis and Tram,"McKinsey, Martin",Green Integer,Poetry,Sept,2008,Greek,Greece,Undirected
Aftershocks,"Weil, Grete","Barrett, John",Fiction,Apr,2008,German,Germany,Undirected
Aftershocks,"Weil, Grete",David Godine,Fiction,Apr,2008,German,Germany,Undirected
Aftershocks,"Barrett, John",David Godine,Fiction,Apr,2008,German,Germany,Undirected
Alexander & Alestria,"Sa, Shan","Hunter, Adriana",Fiction,July,2008,French,France,Undirected
Alexander & Alestria,"Sa, Shan",HarperCollins,Fiction,July,2008,French,France,Undirected
Alexander & Alestria,"Hunter, Adriana",HarperCollins,Fiction,July,2008,French,France,Undirected
All the King's Horses,"Bernstein, Michele","Kelsey, John",Fiction,Oct,2008,French,France,Undirected
All the King's Horses,"Bernstein, Michele",Semiotext(e),Fiction,Oct,2008,French,France,Undirected
All the King's Horses,"Kelsey, John",Semiotext(e),Fiction,Oct,2008,French,France,Undirected
America & Other Poems,"Nobuo, Ayukawa","Oketani, Shogo",Poetry,June,2008,Japanese,Japan,Undirected
America & Other Poems,"Nobuo, Ayukawa",Kaya Press,Poetry,June,2008,Japanese,Japan,Undirected
America & Other Poems,"Oketani, Shogo",Kaya Press,Poetry,June,2008,Japanese,Japan,Undirected
American Fugue,"Stamatis, Alexis","Thiel, Diane",Fiction,Apr,2008,Greek,Greece,Undirected
American Fugue,"Stamatis, Alexis",Etruscan Press,Fiction,Apr,2008,Greek,Greece,Undirected
American Fugue,"Thiel, Diane",Etruscan Press,Fiction,Apr,2008,Greek,Greece,Undirected
Ancient Ship,"Wei, Zhang","Goldblatt, Howard",Fiction,Sept,2008,Chinese,China,Undirected
Ancient Ship,"Wei, Zhang",HarperCollins,Fiction,Sept,2008,Chinese,China,Undirected
Ancient Ship,"Goldblatt, Howard",HarperCollins,Fiction,Sept,2008,Chinese,China,Undirected
