Titles,Source,Target,Genre,Month,Year,Lanuage,Country,Type
Selected Stories,"Abasiyanik, Sait Faik","Freely, Maureen",Fiction,Dec,2014,Turkish,Turkey,Undirected
Tehran Noir,"Abdoh, Salar","Various, Various",Fiction,Oct,2014,Persian,"Iran, Islamic Republic of",Undirected
King,"Abdolah, Kader","Forest-Flier, Nancy",Fiction,Sept,2014,Dutch,"Iran, Islamic Republic of",Undirected
"Fly Away, Pigeon","Abonji, Melinda Nadj","Lewis, Tess",Fiction,Nov,2014,German,Switzerland,Undirected
Pig's Foot,"Acosta, Carlos","Wynne, Frank",Fiction,Jan,2014,Spanish,Cuba,Undirected
Wall,"Adler, H. G.","Filkins, Peter",Fiction,Dec,2014,German,Germany,Undirected
Baboon,"Aidt, Naja Marie","Newman, Denise",Fiction,Oct,2014,Danish,Denmark,Undirected
Conversations,"Aira, Cesar","Silver, Katherine",Fiction,June,2014,Spanish,Argentina,Undirected
What Have You Carried Over?,"Akin, Gulten","various, various",Poetry,Jan,2014,Turkish,Turkey,Undirected
Traces,"Al-Ghitani, Gamal","Uthman, Nadar",Fiction,Nov,2014,Arabic,Egypt,Undirected
Anubis,"al-Koni, Ibrahim","??, ??",Fiction,May,2014,Arabic,Libya,Undirected
"New Waw, Saharan Oasis","Al-Koni, Ibrahim","Hutchins, William",Fiction,Jan,2014,Arabic,Libya,Undirected
Sleepless Eye,"al-Koni, Ibrahim","Allen, Roger",Poetry,Mar,2014,Arabic,Libya,Undirected
"Epistle of Forgiveness, Volume Two","al-Ma'arri, Abu l-'Ala'","Van Gelder, Geert Jan",Fiction,Mar,2014,Arabic,Syrian Arab Republic,Undirected
Lady from Tel Aviv,"al-Madhoun, Raba'i","Colla, Elliott",Fiction,May,2014,Arabic,"Palestinian Territory, Occupied",Undirected
Muniras Bottle,"al-Mohaimeed, Yousef","Calderbank, Anthony",Fiction,May,2014,Arabic,Saudi Arabia,Undirected
Dates on My Fingers,"al-Ramli, Muhsin","Leafgren, Luke",Fiction,May,2014,Arabic,Iraq,Undirected
"Leg over Leg, Volume 3","al-Shidyaq, Ahmad Faris","Davies, Humphrey",Fiction,June,2014,Arabic,Lebanon,Undirected
"Leg over Leg, Volume 4","al-Shidyaq, Ahmad Faris","Davies, Humphrey",Fiction,June,2014,Arabic,Lebanon,Undirected
Deadly Tasting,"Alaux, Jean-Pierre","Pane, Sally",Fiction,Oct,2014,French,France,Undirected
Grand Cru Heist,"Alaux, Jean-Pierre","Trager, Anne",Fiction,June,2014,French,France,Undirected
