Titles,Source,Target,Genre,Month,Year,Lanuage,Country,Type
From the Mouth of the Whale,Sjon,"Cribb, Victoria",Fiction,Nov,2011,Icelandic,Iceland,Undirected
Wasted Morning,"Adamesteanu, Gabriela","Camiller, Patrick",Fiction,Aug,2011,Romanian,Romania,Undirected
Panorama,"Adler, H. G.","Filkins, Peter",Fiction,Jan,2011,German,Germany,Undirected
Keeper of Lost Causes,"Adler-Olsen, Jussi","Nunnally, Tiina",Fiction,Aug,2011,Danish,Denmark,Undirected
Brummstein,"Adolphsen, Peter","Barslund, Charlotte",Fiction,July,2011,Danish,Denmark,Undirected
From the Land of the Moon,"Agus, Milena","Goldstein, Ann",Fiction,Jan,2011,Italian,Italy,Undirected
Three Science Fiction Novellas,"Aine, J.-H. Rosny","Chatelain, Daniele",Fiction,Jan,2011,French,Belgium,Undirected
Seamstress and the Wind,"Aira, Cesar","Knecht, Rosalie",Fiction,June,2011,Spanish,Argentina,Undirected
Traveler and the Innkeeper,"al-Azzawi, Fadhil","Hutchins, William",Fiction,Apr,2011,Arabic,Iraq,Undirected
Hagar Before the Occupation/Hagar After the Occupation,"al-Jubouri, Amal","Howell, Rebecca Gayle",Poetry,Nov,2011,Arabic,Iraq,Undirected
Leeches,"Albahari, David","Elias-Bursac, Ellen",Fiction,Apr,2011,Serbian,Serbia and Montenegro,Undirected
From Unwritten Histories,"Alisanka, Eugenijus","Hix, H. L.",Poetry,Jan,2011,Lithuanian,Lithuania,Undirected
Micrograms,"Andrade, Jorge Carrera","Acosta, Alejandro de",Poetry,Nov,2011,Spanish,Ecuador,Undirected
Splendor of Portugal,"Antunes, Antonio Lobo","McNeil, Rhett",Fiction,Sept,2011,Portuguese,Portugal,Undirected
Last Brother,"Appanah, Nathacha","Strachan, Geoffrey",Fiction,Feb,2011,French,Mauritius,Undirected
Until the Dawn's Light,"Appelfeld, Aharon","Green, Jeffrey",Fiction,Oct,2011,Hebrew,Israel,Undirected
Caring Man,"Arai, Akira","Adler, Marc",Fiction,July,2011,Japanese,Japan,Undirected
Sarmada,"Assam, Fadi","Cranfield, Tristan",Fiction,Nov,2011,Arabic,Syrian Arab Republic,Undirected
Moon Over the Mountain,"Atsushi, Nakajima","McCarthy, Paul",Fiction,Mar,2011,Japanese,Japan,Undirected
Journey of the Dead,"Augieras, Francois","Moncrieff, Christopher",Fiction,Oct,2011,French,United States (USA),Undirected
Heatwave and Crazy Birds,"Avigur-Rotem, Gabriela","Bilu, Dalya",Fiction,May,2011,Hebrew,Israel,Undirected
Into the Snow,"Aygi, Gennady","Valentine, Sarah",Poetry,Nov,2011,Russian,Russia,Undirected
Hotel Bosphorus,"Aykol, Esmahan","Whitehouse, Ruth",Fiction,July,2011,Turkish,Turkey,Undirected
Tale of Hansuli Turn,"Bandopadhyay, Tarashankar","Baer, Ben Conisbee",Fiction,May,2011,Bengali,India,Undirected
Zoo in Winter,"Barskova, Polina","Dralyuk, Boris",Poetry,Feb,2011,Russian,Russia,Undirected
Coda,"Belletto, Rene","Waters, Alyson",Fiction,Mar,2011,French,France,Undirected
Victor Halfwit,"Bernhard, Thomas","Chalmers, Martin",Fiction,Jan,2011,German,Austria,Undirected
