Titles,Source,Target,Genre,Month,Year,Lanuage,Country,Type
Recipes for Sad Women,"Abad, Hector","McLean, Anne",Fiction,Aug,2012,Spanish,Colombia,Undirected
Khatyn,"Adamovich, Ales","Kozlov, Glenys",Fiction,May,2012,Russian,Belarus,Undirected
Absent One,"Adler-Olsen, Jussi","Semmel, K.E.",Fiction,Aug,2012,Danish,Denmark,Undirected
"now, 1/3 & thepoem","Agrafiotis, Demosthenes","Sakkis, John",Poetry,May,2012,Greek,Greece,Undirected
Field Guide,"Agudelo, Dario Jaramillo","Share, Don",Poetry,Oct,2012,Spanish,Colombia,Undirected
Miracle Cures of Dr. Aira,"Aira, Cesar","Silver, Katherine",Fiction,Oct,2012,Spanish,Argentina,Undirected
Varamo,"Aira, Cesar","Silver, Katharine",Fiction,Feb,2012,Spanish,Argentina,Undirected
Land without Jasmine,"al-Ahdal, Wajdi","Hutchins, William Maynard",Fiction,Sept,2012,Arabic,Yemen,Undirected
Judgment Day,"al-Ameer, Rasha","Wright, Jonathan",Fiction,Jan,2012,Arabic,Lebanon,Undirected
Life on Hold,"al-Atiq, Fahd","Wright, Jonathan",Fiction,Sept,2012,Arabic,Saudi Arabia,Undirected
Book of Epiphanies,"al-Ghitani, Gamal","Wahab, Farouk",Fiction,Sept,2012,Arabic,Egypt,Undirected
Diesel,"Al-Suwaidi, Thani","Hutchins, William",Fiction,July,2012,Arabic,United Arab Emirates,Undirected
Brooklyn Heights,"al-Tahawy, Miral","Selim, Samah",Fiction,Jan,2012,Arabic,Egypt,Undirected
Treachery in Bordeaux,"Alaux, Jean-Pierre","Trager, Anne",Fiction,Oct,2012,French,France,Undirected
Night and Day,"Alferi, Pierre","Campbell, Kate",Poetry,Nov,2012,French,France,Undirected
Book of Emotions,"Almino, Joao","Jackson, Elizabeth",Fiction,Jan,2012,Portuguese,Brazil,Undirected
Disconnect,"Alonso, Nancy","Fountain, Anne",Fiction,Feb,2012,Spanish,Cuba,Undirected
Discovery of America by the Turks,"Amado, Jorge","Rabassa, Gregory",Fiction,Aug,2012,Portuguese,Brazil,Undirected
Me and You,"Ammaniti, Niccolo","Doust, Kylee",Fiction,Feb,2012,Italian,Italy,Undirected
Neruda Case,"Ampuero, Roberto","Robertis, Carolina de",Fiction,June,2012,Spanish,Chile,Undirected
Block 11,"Antoni, Piero degli","Waggener, Erin",Fiction,Oct,2012,Italian,Italy,Undirected
Sadness of the Samurai,"Arbol, Victor del","Lethem, Mara Faye",Fiction,May,2012,Spanish,Spain,Undirected
Time of Angels,"Aridjis, Homero","McWhirter, George",Poetry,Nov,2012,Spanish,Mexico,Undirected
Lovers,"Arsand, Daniel","Curtis, Howard",Fiction,May,2012,French,France,Undirected
Murder in the Red Chamber,"Ashibe, Taku","Grillo, Tyran",Fiction,Jan,2012,Japanese,Japan,Undirected
Seven Houses in France,"Atxaga, Bernardo","Costa, Margaret Jull",Fiction,Sept,2012,Basque,Spain,Undirected
No One,"Aubry, Gwenaelle","Selous, Trista",Fiction,Feb,2012,French,France,Undirected
Swimming to Elba,"Avallone, Silvia","Shugaar, Antony",Fiction,June,2012,Italian,Italy,Undirected
Eyes of Venice,"Barbero, Alessandro","Conti, Gregory",Fiction,Oct,2012,Italian,Italy,Undirected
I Hate Hockey,"Barcelo, Francois","McCambridge, Peter",Fiction,Feb,2012,French,Quebec,Undirected
Emmaus,"Baricco, Alessandro","Goldstein, Anne",Fiction,May,2012,Italian,Italy,Undirected
Alfa Romeo 1300,"Bartolomei, Fabio","Shugaar, Antony",Fiction,Oct,2012,Italian,Italy,Undirected
White Shanghai,"Baryakina, Elvira","Kuttner, Benjamin",Fiction,Dec,2012,Russian,Russia,Undirected
Cyclist Conspiracy,"Basara, Svetislav","Major, Randall",Fiction,Mar,2012,Serbian,Serbia and Montenegro,Undirected
We Monks and Soldiers,"Bassmann, Lutz","Stump, Jordan",Fiction,Sept,2012,French,France,Undirected
Siege in the Room,"Bauca, Miquel","Tennent, Martha",Fiction,July,2012,Catalan,Spain,Undirected
Turkana Boy,"Beauchemin, Jean-Francois","Moore, Jessica",Fiction,Apr,2012,French,Quebec,Undirected
Monsieur: An Erotic Novel,"Becker, Emma","Jakubowski, Maxim",Fiction,Nov,2012,French,France,Undirected
Knot in the Rug,"Behnoud, Masoud","Phillips, Sara",Fiction,Sept,2012,Persian,"Iran, Islamic Republic of",Undirected
Thursday Night Men,"Benacquista, Tonino","Anderson, Alison",Fiction,Oct,2012,French,France,Undirected
Witness,"Benedetti, Mario","Popkin, Louise",Poetry,May,2012,Spanish,Uruguay,Undirected
Abduction,"Benmalek, Anouar","Pare, Simon",Fiction,May,2012,French,Algeria,Undirected
