Titles,Source,Target,Genre,Month,Year,Lanuage,Country,Type
Poems of Vkram Babu,"Aguado, Jesus","Arenal, Electa",Poetry,Jan,2009,Spanish,Spain,Undirected
Ghosts,"Aira, Cesar","Andrews, Chris",Fiction,Feb,2009,Spanish,Argentina,Undirected
Other City,"Ajvaz, Michal","Turner, Gerald",Fiction,June,2009,Czech,Czech Republic,Undirected
Sister Pelagia and the Red Cockerel,"Akunin, Boris","Bromfield, Andrew",Fiction,Aug,2009,Russian,Russia,Undirected
Many and Many a Year Ago,"Altun, Selcuk","??, ??",Fiction,Sept,2009,Turkish,Turkey,Undirected
Songs My Mother Never Taught Me,"Altun, Selcuk","Christie, Ruth",Fiction,Apr,2009,Turkish,Turkey,Undirected
Love and Gymnastics,"Amicis, Edmondo de","Chapman, David",Fiction,Oct,2009,Italian,Italy,Undirected
As God Commands,"Ammaniti, Niccolo","Hunt, Jonathan",Fiction,Oct,2009,Italian,Italy,Undirected
Agnes & Molly,"Andersen, Merete","Haveland, Barbara",Fiction,Jan,2009,Norwegian,Norway,Undirected
Memory Glyphs,"Andriescu, Radu","Sorkin, Adam",Poetry,June,2009,Romanian,Romania,Undirected
Scattered Papers of Penelope,"Anghelaki-Rooke, Katerina","various, various",Poetry,Mar,2009,Greek,Greece,Undirected
Blue Bay Palace,"Appanah, Nathacha","Stanton, Alex",Fiction,June,2009,French,Mauritius,Undirected
Laish,"Appelfeld, Aharon","Halter, Aloma",Fiction,Mar,2009,Hebrew,Israel,Undirected
Gastrology or Life of Pleasure or Study of the Belly or Inquiry into Dinner,"Archestratos, ","Lombardo, Gian",Poetry,Dec,2009,Greek,Greece,Undirected
Sudden Liberating Thought,"Askildsen, Kjell","Lyngstad, Sverre",Fiction,July,2009,Norwegian,Norway,Undirected
Friendly Fire: Ten Tales of Today's Cairo,"Aswany, Alaa Al","Davies, Humphrey",Fiction,Sept,2009,Arabic,Egypt,Undirected
Accordionist's Son,"Atxaga, Bernardo","Costa, Margaret Jull",Fiction,Feb,2009,Spanish,Spain,Undirected
Field of Honour,"Aub, Max","Martin, Gerald",Fiction,Sept,2009,Spanish,Spain,Undirected
Blind Cat Black and The Orthodoxies,"Ayhan, Ece","Nemet-Nejat, Murat",Poetry,Nov,2009,Turkish,Turkey,Undirected
Supermarket,"Azuchi, Satoshi","Warham, Paul",Fiction,Feb,2009,Japanese,Japan,Undirected
Ring of Fire,"Baccalario, Pierdomenico","Janeczko, Leah",Fiction,Sept,2009,Italian,Italy,Undirected
Papa Sartre,"Bader, Ali","Bamia, Aida",Fiction,Oct,2009,Arabic,Iraq,Undirected
Twin,"Bakker, Gerbrand","Colmer, David",Fiction,Apr,2009,Dutch,Netherlands,Undirected
Small Talk,"Baldini, Raffaello","Bernardi, Adria",Poetry,Nov,2009,Italian,Italy,Undirected
Sandokan,"Balestrini, Nanni","Shugaar, Antony",Fiction,Nov,2009,Italian,Italy,Undirected
Gourmet Rhapsody,"Barbery, Muriel","Anderson, Alison",Fiction,Sept,2009,French,France,Undirected
Mahala,"Barnard, Chris","Strauss, Luzette",Fiction,Apr,2009,Afrikaans,South Africa,Undirected
Ninth,"Barnas, Ferenc","Olchvary, Paul",Fiction,June,2009,Hungarian,Hungary,Undirected
Pistachio Seller,"Bassiouney, Reem","Nusairi, Osman",Fiction,Nov,2009,Arabic,Egypt,Undirected
Class,"Begaudeau, Francois","Asher, Linda",Fiction,Apr,2009,French,France,Undirected
Beauty Salon,"Bellatin, Mario","Hollander, Kurt",Fiction,July,2009,Spanish,Mexico,Undirected
